RBD,Comuna,Nombre Establecimiento,Cat_2019_Basica,Cat_2019_Media,Simce_Lect_4B,Simce_Mate_4B,EDA_Lect_Ins_4B,EDA_Lect_Ele_4B,EDA_Lect_Ade_4B,EDA_Mate_Ins_4B,EDA_Mate_Ele_4B,EDA_Mate_Ade_4B,Autoestima_4B,Convivencia_4B,Participacion_4B,Habitos_Vida_4B,Simce_Lect_2M,Simce_Mate_2M,EDA_Lect_Ins_2M,EDA_Lect_Ele_2M,EDA_Lect_Ade_2M,EDA_Mate_Ins_2M,EDA_Mate_Ele_2M,EDA_Mate_Ade_2M,Autoestima_2M,Convivencia_2M,Participacion_2M,Habitos_Vida_2M
13155,COQUIMBO,CENTRO EST.Y DES.INTEGRAL DEL NINO,MEDIO-BAJO,,250.0,262.0,35.7,35.7,28.6,14.3,64.3,21.4,68.0,77.0,81.0,72.0,,,,,,,,,,,,
13180,COQUIMBO,COLEGIO ALTAZOR,MEDIO-BAJO,MEDIO-BAJO,251.0,242.0,50.0,20.5,29.5,50.0,38.6,11.4,69.0,69.0,71.0,64.0,237.0,227.0,41.4,48.3,10.3,75.9,24.1,0.0,68.0,71.0,70.0,72.0
13251,COQUIMBO,COLEGIO BERNARDO O´HIGGINS,,MEDIO-BAJO,267.0,250.0,28.0,33.6,38.4,42.4,45.6,12.0,75.0,76.0,80.0,71.0,243.0,238.0,41.0,42.6,16.4,70.5,21.1,8.4,74.0,70.0,74.0,70.0
13217,COQUIMBO,COLEGIO ESPANOL,,MEDIO-BAJO,,,,,,,,,,,,,234.0,221.0,33.3,51.9,14.8,81.5,14.8,3.7,67.0,75.0,77.0,71.0
13200,COQUIMBO,COLEGIO EUSEBIO LILLO PUNTA MIRA,MEDIO-BAJO,,291.0,278.0,15.2,15.2,69.7,12.1,51.5,36.4,74.0,77.0,84.0,69.0,,,,,,,,,,,,
13204,COQUIMBO,COLEGIO GOLDEN HIND SCHOOL,MEDIO-BAJO,,261.0,227.0,43.2,18.9,37.8,64.9,27.0,8.1,70.0,72.0,82.0,73.0,,,,,,,,,,,,
13214,COQUIMBO,COLEGIO HELLEN KELLER PEÑUELAS,MEDIO-BAJO,,259.0,240.0,42.9,21.4,35.7,64.3,14.3,21.4,74.0,73.0,74.0,71.0,,,,,,,,,,,,
13211,COQUIMBO,COLEGIO HORIZONTES,MEDIO-BAJO,,270.0,257.0,28.9,23.7,47.4,42.1,34.2,23.7,73.0,75.0,83.0,71.0,,,,,,,,,,,,
13207,COQUIMBO,COLEGIO JOSE MARTI PEREZ,MEDIO-BAJO,,275.0,252.0,35.1,13.5,51.4,59.5,21.6,18.9,76.0,80.0,84.0,77.0,,,,,,,,,,,,
13076,COQUIMBO,COLEGIO MANUEL MONTT,MEDIO-BAJO,,262.0,248.0,38.9,16.7,44.4,48.6,37.1,14.3,74.0,76.0,78.0,72.0,257.0,245.0,30.3,45.5,24.2,60.6,39.4,0.0,70.0,69.0,72.0,73.0
13146,COQUIMBO,COLEGIO PART. KOMVUX - COQUIMBO,INSUFICIENTE,MEDIO-BAJO,285.0,268.0,20.0,26.7,53.3,27.8,44.4,27.8,74.0,73.0,73.0,69.0,231.0,223.0,47.8,43.5,8.7,82.6,17.4,0.0,74.0,78.0,75.0,75.0
13171,COQUIMBO,COLEGIO PARTICULAR SAN FRANCISCO JAVIER,INSUFICIENTE,,253.0,226.0,30.8,38.5,30.8,78.6,21.4,0.0,72.0,79.0,85.0,74.0,,,,,,,,,,,,
13201,COQUIMBO,COLEGIO SAN LUIS,INSUFICIENTE,MEDIO-BAJO,273.0,238.0,22.2,33.3,44.4,51.9,40.7,7.4,76.0,77.0,82.0,75.0,244.0,225.0,38.5,50.0,11.5,73.1,26.9,0.0,81.0,82.0,84.0,79.0
13215,COQUIMBO,COLEGIO SANTA HELENA COLLEGE,,MEDIO-BAJO,,,,,,,,,,,,,252.0,241.0,31.4,45.7,22.9,65.7,25.7,8.6,73.0,80.0,77.0,74.0
13184,COQUIMBO,COLEGIO SANTA MARIA DEL REFUGIO,MEDIO-BAJO,,289.0,253.0,12.0,44.0,44.0,36.0,52.0,12.0,79.0,80.0,81.0,73.0,,,,,,,,,,,,
12860,LA SERENA,COLEGIO ALTOS DEL CERRO GRANDE,MEDIO-BAJO,,291.0,263.0,10.3,37.9,51.7,34.5,48.3,17.2,66.0,68.0,72.0,67.0,265.0,286.0,14.3,57.1,28.6,30.3,36.4,33.3,80.0,77.0,73.0,73.0
12933,LA SERENA,COLEGIO ARTISTICO CULTURAL FORM-ARTE,,INSUFICIENTE,293.0,255.0,16.7,33.3,50.0,41.7,41.7,16.7,67.0,73.0,79.0,69.0,262.0,264.0,22.2,40.0,37.8,42.2,42.2,15.6,75.0,77.0,74.0,71.0
12814,LA SERENA,COLEGIO BERNARDO O´HIGGINS,MEDIO-BAJO,MEDIO-BAJO,291.0,274.0,12.0,33.3,54.7,18.7,48.0,33.3,77.0,78.0,82.0,73.0,268.0,267.0,25.0,47.7,27.3,47.7,43.2,9.1,75.0,72.0,73.0,74.0
12853,LA SERENA,COLEGIO CERRO GRANDE,MEDIO-BAJO,,266.0,250.0,34.1,31.8,34.1,50.0,36.4,13.6,76.0,78.0,81.0,73.0,256.0,247.0,33.3,40.0,26.7,64.3,32.1,3.6,78.0,79.0,75.0,76.0
12966,LA SERENA,COLEGIO CHRIST SCHOOL,,MEDIO-BAJO (NUEVO),269.0,248.0,33.3,27.8,38.9,41.2,41.2,17.6,74.0,77.0,78.0,71.0,243.0,220.0,43.5,41.3,15.2,71.7,26.1,2.2,73.0,77.0,76.0,76.0
13045,LA SERENA,COLEGIO CORDILLERA,MEDIO-BAJO,MEDIO-BAJO,289.0,251.0,13.8,37.9,48.3,50.0,28.6,21.4,75.0,73.0,79.0,74.0,277.0,334.0,7.1,21.4,71.4,0.0,14.3,85.7,78.0,78.0,73.0,75.0
12965,LA SERENA,COLEGIO CRISTIANO LA SERENA,MEDIO-BAJO,,291.0,254.0,13.0,34.8,52.2,50.0,45.5,4.5,68.0,75.0,80.0,72.0,,,,,,,,,,,,
13000,LA SERENA,COLEGIO DOMINGO SANTA MARIA,MEDIO-BAJO,,283.0,269.0,20.0,28.0,52.0,25.0,50.0,25.0,74.0,75.0,82.0,71.0,259.0,270.0,20.9,46.5,32.6,34.9,44.2,20.9,73.0,71.0,73.0,73.0
12948,LA SERENA,COLEGIO LIBERTADOR SIMON BOLIVAR,,MEDIO-BAJO,285.0,264.0,20.8,33.3,45.8,37.5,37.5,25.0,76.0,79.0,84.0,72.0,244.0,259.0,32.4,48.2,19.4,44.1,41.2,14.7,69.0,72.0,77.0,73.0
13010,LA SERENA,COLEGIO MONTEVERDI,MEDIO-BAJO,,283.0,267.0,18.5,29.6,51.9,29.6,44.4,25.9,76.0,77.0,84.0,73.0,221.0,258.0,61.5,30.8,7.7,46.2,38.5,15.4,72.0,75.0,74.0,74.0
12922,LA SERENA,COLEGIO PARTICULAR PIERROT,INSUFICIENTE,INSUFICIENTE,270.0,266.0,21.4,42.9,35.7,42.9,28.6,28.6,77.0,78.0,79.0,74.0,212.0,215.0,71.4,21.4,7.1,87.5,6.3,6.3,74.0,73.0,74.0,75.0
12954,LA SERENA,COLEGIO RUKALAF,MEDIO-BAJO,,287.0,270.0,11.1,44.4,44.4,30.8,42.3,26.9,78.0,79.0,82.0,72.0,,,,,,,,,,,,
13032,LA SERENA,COLEGIO SAN LUCAS,MEDIO-BAJO,,284.0,259.0,18.2,40.9,40.9,40.9,45.5,13.6,78.0,77.0,81.0,74.0,258.0,233.0,17.6,52.9,29.4,76.5,23.5,0.0,65.0,71.0,68.0,70.0
13042,LA SERENA,COLEGIO SAN MARTIN DE PORRES,,MEDIO-BAJO,265.0,258.0,38.5,23.1,38.5,33.3,53.3,13.3,76.0,80.0,82.0,78.0,235.0,223.0,41.3,47.6,11.1,85.7,11.1,3.2,73.0,76.0,76.0,72.0
12971,LA SERENA,COLEGIO TECNICO PROFESIONAL FLORENCIA NIGHTIN,,MEDIO-BAJO,,,,,,,,,,,,,220.0,217.0,52.4,36.9,10.7,85.7,14.3,0.0,69.0,72.0,73.0,76.0
12942,LA SERENA,COLEGIO VALENTIN LETELIER,MEDIO-BAJO,,276.0,262.0,23.1,34.6,42.3,38.5,50.0,11.5,73.0,74.0,78.0,72.0,257.0,262.0,13.0,60.9,26.1,52.2,34.8,13.0,74.0,80.0,75.0,74.0
12932,LA SERENA,ESC. FAMILIAR AGRICOLA VALLE DEL ELQUI,,MEDIO-BAJO,,,,,,,,,,,,,232.0,213.0,44.0,42.0,14.0,78.0,18.0,4.0,73.0,77.0,80.0,73.0
12866,LA SERENA,ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN,MEDIO-BAJO,,312.0,301.0,9.1,14.5,76.4,5.4,44.6,50.0,78.0,76.0,81.0,67.0,257.0,266.0,21.7,58.7,19.6,44.9,36.7,18.4,72.0,71.0,75.0,68.0
12807,LA SERENA,ESCUELA INDUSTRIAL SALESIANA SAN RAMON,,MEDIO-BAJO,,,,,,,,,,,,,254.0,289.0,22.1,51.6,26.3,37.3,39.7,23.0,74.0,74.0,79.0,71.0
